0.00 1.92  Stop scrolling.
1.92 4.92  Imagine turning your words into stunning videos.
4.92 9.12  Meet Sora, open AI's revolutionary text to video tool.
9.12 13.00  With Sora, you can animate still images, extend clips,
13.00 16.68  and create entire scenes, all from a simple prompt.
16.68 19.68  It's game-changing for creators, storytellers,
19.68 21.04  and dreamers alike.
21.04 22.60  But here's the catch.
22.60 25.12  Sora runs on credits, and high-res videos
25.12 26.56  can drain them fast.
26.56 29.28  Plus, some results can be hit or miss.
29.28 33.24  Demand is so high, open AI even pauses new signups.
33.24 36.76  Still, it's transforming creativity like never before.
36.76 40.16  So what will you create when your words come to life?
40.16 42.52  The future of storytelling is here.
42.52 44.00  Ready to make some magic?
